iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DZA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.156,NA,NA,NA,NA,NA,NA,NA,NA,194,NA,NA,NA,NA,NA
BWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.7,139.79,183.47,195.73,189.57,163,188.86,147.9,182.6,NA
CHN,88.9,NA,NA,NA,NA,61.9,NA,63.6,NA,58.7,53,50.2,43.2,51.3,48.3,47.7,41.1,36.6,34.2,31.9,30,26.1,24.5,NA,NA
EGY,NA,NA,174,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,68,NA,59,NA,NA,NA,NA,NA,NA,NA,NA
SLV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.93,51.09,NA,NA,NA,NA,NA,NA
HND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.1,86,NA
IND,NA,NA,437,NA,NA,NA,NA,NA,398,540,327,NA,301,NA,NA,254,NA,NA,212,NA,NA,178,167,NA,NA
IRN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4,28.3,24.1,23.8,21.7,24.7,20.9,25.4,22.1,21.5,19.9,19.7,NA
JAM,NA,NA,NA,NA,NA,81.3,NA,NA,90.1,73.5,90.3,91.5,110.5,89.8,82.5,109.2,96.7,92.9,102,73.2,113.3,95.7,81.3,NA,NA
MNG,NA,NA,203.9,259,219,186,173.7,143.5,162.4,182,166.2,165,121.5,107.2,96.7,92.7,67.2,88.3,48.6,81,47.4,48.7,51.5,42.6,30.2
MMR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,NA,NA,NA,NA,NA,NA
OMN,NA,27.4,15.9,6,24.4,22,21,13.3,18.5,13.7,16.1,23.1,37.5,23.2,18.5,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
PER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.3,123.8,120.8,114.1,114.9,110.5,107.9,96.1,95.9,92.7,NA,NA,NA
LKA,NA,NA,NA,NA,NA,61,62,63,53,55.8,55.6,46.6,53.4,42.4,38,44,39.3,38.4,33.4,40.2,31.1,32.5,37.7,NA,NA
THA,NA,NA,NA,NA,NA,NA,44.1,36.5,36.4,NA,NA,NA,NA,NA,44.5,37.4,41.6,NA,NA,NA,NA,NA,NA,NA,NA
TUN,NA,NA,NA,68.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8,NA,NA,NA,NA,NA,NA
TUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2,19.4,18.4,16.4,15.5,15.4,15.9,15.2
ARE,32.6,NA,NA,NA,NA,22.4,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,1.4,NA,NA,NA,NA,NA,NA
