fips,location_name,population,geo_type,geo_value,abbreviation
US,United States,328728466,state,us,US
01,Alabama,4903185,state,al,AL
02,Alaska,731545,state,ak,AK
04,Arizona,7278717,state,az,AZ
05,Arkansas,3017804,state,ar,AR
06,California,39512223,state,ca,CA
08,Colorado,5758736,state,co,CO
09,Connecticut,3565287,state,ct,CT
10,Delaware,973764,state,de,DE
11,District of Columbia,705749,state,dc,DC
12,Florida,21477737,state,fl,FL
13,Georgia,10617423,state,ga,GA
15,Hawaii,1415872,state,hi,HI
16,Idaho,1787065,state,id,ID
17,Illinois,12671821,state,il,IL
18,Indiana,6732219,state,in,IN
19,Iowa,3155070,state,ia,IA
20,Kansas,2913314,state,ks,KS
21,Kentucky,4467673,state,ky,KY
22,Louisiana,4648794,state,la,LA
23,Maine,1344212,state,me,ME
24,Maryland,6045680,state,md,MD
25,Massachusetts,6892503,state,ma,MA
26,Michigan,9986857,state,mi,MI
27,Minnesota,5639632,state,mn,MN
28,Mississippi,2976149,state,ms,MS
29,Missouri,6626371,state,mo,MO
30,Montana,1068778,state,mt,MT
31,Nebraska,1934408,state,ne,NE
32,Nevada,3080156,state,nv,NV
33,New Hampshire,1359711,state,nh,NH
34,New Jersey,8882190,state,nj,NJ
35,New Mexico,2096829,state,nm,NM
36,New York,19453561,state,ny,NY
37,North Carolina,10488084,state,nc,NC
38,North Dakota,762062,state,nd,ND
39,Ohio,11689100,state,oh,OH
40,Oklahoma,3956971,state,ok,OK
41,Oregon,4217737,state,or,OR
42,Pennsylvania,12801989,state,pa,PA
44,Rhode Island,1059361,state,ri,RI
45,South Carolina,5148714,state,sc,SC
46,South Dakota,884659,state,sd,SD
47,Tennessee,6829174,state,tn,TN
48,Texas,28995881,state,tx,TX
49,Utah,3205958,state,ut,UT
50,Vermont,623989,state,vt,VT
51,Virginia,8535519,state,va,VA
53,Washington,7614893,state,wa,WA
54,West Virginia,1792147,state,wv,WV
55,Wisconsin,5822434,state,wi,WI
56,Wyoming,578759,state,wy,WY
60,American Samoa,55641,state,as,AS
66,Guam,164229,state,gu,GU
69,Northern Mariana Islands,55144,state,mp,MP
72,Puerto Rico,3754939,state,pr,PR
74,U.S. Minor Outlying Islands,NA,state,um,UM
78,Virgin Islands,107268,state,vi,VI
01001,Autauga County,55869,county,01001,AL
01003,Baldwin County,223234,county,01003,AL
01005,Barbour County,24686,county,01005,AL
01007,Bibb County,22394,county,01007,AL
01009,Blount County,57826,county,01009,AL
01011,Bullock County,10101,county,01011,AL
01013,Butler County,19448,county,01013,AL
01015,Calhoun County,113605,county,01015,AL
01017,Chambers County,33254,county,01017,AL
01019,Cherokee County,26196,county,01019,AL
01021,Chilton County,44428,county,01021,AL
01023,Choctaw County,12589,county,01023,AL
01025,Clarke County,23622,county,01025,AL
01027,Clay County,13235,county,01027,AL
01029,Cleburne County,14910,county,01029,AL
01031,Coffee County,52342,county,01031,AL
01033,Colbert County,55241,county,01033,AL
01035,Conecuh County,12067,county,01035,AL
01037,Coosa County,10663,county,01037,AL
01039,Covington County,37049,county,01039,AL
01041,Crenshaw County,13772,county,01041,AL
01043,Cullman County,83768,county,01043,AL
01045,Dale County,49172,county,01045,AL
01047,Dallas County,37196,county,01047,AL
01049,DeKalb County,71513,county,01049,AL
01051,Elmore County,81209,county,01051,AL
01053,Escambia County,36633,county,01053,AL
01055,Etowah County,102268,county,01055,AL
01057,Fayette County,16302,county,01057,AL
01059,Franklin County,31362,county,01059,AL
01061,Geneva County,26271,county,01061,AL
01063,Greene County,8111,county,01063,AL
01065,Hale County,14651,county,01065,AL
01067,Henry County,17205,county,01067,AL
01069,Houston County,105882,county,01069,AL
01071,Jackson County,51626,county,01071,AL
01073,Jefferson County,658573,county,01073,AL
01075,Lamar County,13805,county,01075,AL
01077,Lauderdale County,92729,county,01077,AL
01079,Lawrence County,32924,county,01079,AL
01081,Lee County,164542,county,01081,AL
01083,Limestone County,98915,county,01083,AL
01085,Lowndes County,9726,county,01085,AL
01087,Macon County,18068,county,01087,AL
01089,Madison County,372909,county,01089,AL
01091,Marengo County,18863,county,01091,AL
01093,Marion County,29709,county,01093,AL
01095,Marshall County,96774,county,01095,AL
01097,Mobile County,413210,county,01097,AL
01099,Monroe County,20733,county,01099,AL
01101,Montgomery County,226486,county,01101,AL
01103,Morgan County,119679,county,01103,AL
01105,Perry County,8923,county,01105,AL
01107,Pickens County,19930,county,01107,AL
01109,Pike County,33114,county,01109,AL
01111,Randolph County,22722,county,01111,AL
01113,Russell County,57961,county,01113,AL
01115,St. Clair County,89512,county,01115,AL
01117,Shelby County,217702,county,01117,AL
01119,Sumter County,12427,county,01119,AL
01121,Talladega County,79978,county,01121,AL
01123,Tallapoosa County,40367,county,01123,AL
01125,Tuscaloosa County,209355,county,01125,AL
01127,Walker County,63521,county,01127,AL
01129,Washington County,16326,county,01129,AL
01131,Wilcox County,10373,county,01131,AL
01133,Winston County,23629,county,01133,AL
02013,Aleutians East County,3337,county,02013,AK
02016,Aleutians West County,5634,county,02016,AK
02020,Anchorage County,288000,county,02020,AK
02050,Bethel County,18386,county,02050,AK
02060,Bristol Bay County,836,county,02060,AK
02068,Denali County,2097,county,02068,AK
02070,Dillingham County,4916,county,02070,AK
02090,Fairbanks North Star County,96849,county,02090,AK
02100,Haines County,2530,county,02100,AK
02105,Hoonah-Angoon County,2148,county,02105,AK
02110,Juneau County,31974,county,02110,AK
02122,Kenai Peninsula County,58708,county,02122,AK
02130,Ketchikan Gateway County,13901,county,02130,AK
02150,Kodiak Island County,12998,county,02150,AK
02158,Kusilvak County,8314,county,02158,AK
02164,Lake and Peninsula County,1592,county,02164,AK
02170,Matanuska-Susitna County,108317,county,02170,AK
02180,Nome County,10004,county,02180,AK
02185,North Slope County,9832,county,02185,AK
02188,Northwest Arctic County,7621,county,02188,AK
02195,Petersburg County,3266,county,02195,AK
02198,Prince of Wales-Hyder County,6203,county,02198,AK
02220,Sitka County,8493,county,02220,AK
02230,Skagway County,1183,county,02230,AK
02240,Southeast Fairbanks County,6893,county,02240,AK
02261,Valdez-Cordova County,9202,county,02261,AK
02275,Wrangell County,2502,county,02275,AK
02282,Yakutat County,579,county,02282,AK
02290,Yukon-Koyukuk County,5230,county,02290,AK
04001,Apache County,71887,county,04001,AZ
04003,Cochise County,125922,county,04003,AZ
04005,Coconino County,143476,county,04005,AZ
04007,Gila County,54018,county,04007,AZ
04009,Graham County,38837,county,04009,AZ
04011,Greenlee County,9498,county,04011,AZ
04012,La Paz County,21108,county,04012,AZ
04013,Maricopa County,4485414,county,04013,AZ
04015,Mohave County,212181,county,04015,AZ
04017,Navajo County,110924,county,04017,AZ
04019,Pima County,1047279,county,04019,AZ
04021,Pinal County,462789,county,04021,AZ
04023,Santa Cruz County,46498,county,04023,AZ
04025,Yavapai County,235099,county,04025,AZ
04027,Yuma County,213787,county,04027,AZ
05001,Arkansas County,17486,county,05001,AR
05003,Ashley County,19657,county,05003,AR
05005,Baxter County,41932,county,05005,AR
05007,Benton County,279141,county,05007,AR
05009,Boone County,37432,county,05009,AR
05011,Bradley County,10763,county,05011,AR
05013,Calhoun County,5189,county,05013,AR
05015,Carroll County,28380,county,05015,AR
05017,Chicot County,10118,county,05017,AR
05019,Clark County,22320,county,05019,AR
05021,Clay County,14551,county,05021,AR
05023,Cleburne County,24919,county,05023,AR
05025,Cleveland County,7956,county,05025,AR
05027,Columbia County,23457,county,05027,AR
05029,Conway County,20846,county,05029,AR
05031,Craighead County,110332,county,05031,AR
05033,Crawford County,63257,county,05033,AR
05035,Crittenden County,47955,county,05035,AR
05037,Cross County,16419,county,05037,AR
05039,Dallas County,7009,county,05039,AR
05041,Desha County,11361,county,05041,AR
05043,Drew County,18219,county,05043,AR
05045,Faulkner County,126007,county,05045,AR
05047,Franklin County,17715,county,05047,AR
05049,Fulton County,12477,county,05049,AR
05051,Garland County,99386,county,05051,AR
05053,Grant County,18265,county,05053,AR
05055,Greene County,45325,county,05055,AR
05057,Hempstead County,21532,county,05057,AR
05059,Hot Spring County,33771,county,05059,AR
05061,Howard County,13202,county,05061,AR
05063,Independence County,37825,county,05063,AR
