Year,CO2,Type
1980,81.15942029,Rural Diesel
1981,89.85507246,Rural Diesel
1982,89.85507246,Rural Diesel
1983,95.65217391,Rural Diesel
1984,95.65217391,Rural Diesel
1985,95.65217391,Rural Diesel
1986,98.55072464,Rural Diesel
1987,110.1449275,Rural Diesel
1988,107.2463768,Rural Diesel
1989,115.942029,Rural Diesel
1990,115.942029,Rural Diesel
1991,113.0434783,Rural Diesel
1992,121.7391304,Rural Diesel
1993,121.7391304,Rural Diesel
1994,133.3333333,Rural Diesel
1995,139.1304348,Rural Diesel
1996,144.9275362,Rural Diesel
1997,156.5217391,Rural Diesel
1998,162.3188406,Rural Diesel
1999,173.9130435,Rural Diesel
2000,185.5072464,Rural Diesel
2001,179.7101449,Rural Diesel
2002,188.4057971,Rural Diesel
2003,188.4057971,Rural Diesel
2004,194.2028986,Rural Diesel
2005,202.8985507,Rural Diesel
2006,202.8985507,Rural Diesel
2007,208.6956522,Rural Diesel
2008,185.5072464,Rural Diesel
2009,168.115942,Rural Diesel
2010,182.6086957,Rural Diesel
2011,182.6086957,Rural Diesel
2012,185.5072464,Rural Diesel
1980,46.37681159,Urban Diesel
1981,52.17391304,Urban Diesel
1982,55.07246377,Urban Diesel
1983,63.76811594,Urban Diesel
1984,69.56521739,Urban Diesel
1985,72.46376812,Urban Diesel
1986,72.46376812,Urban Diesel
1987,75.36231884,Urban Diesel
1988,84.05797101,Urban Diesel
1989,89.85507246,Urban Diesel
1990,89.85507246,Urban Diesel
1991,84.05797101,Urban Diesel
1992,92.75362319,Urban Diesel
1993,104.3478261,Urban Diesel
1994,110.1449275,Urban Diesel
1995,113.0434783,Urban Diesel
1996,121.7391304,Urban Diesel
1997,130.4347826,Urban Diesel
1998,142.0289855,Urban Diesel
1999,150.7246377,Urban Diesel
2000,156.5217391,Urban Diesel
2001,147.826087,Urban Diesel
2002,156.5217391,Urban Diesel
2003,162.3188406,Urban Diesel
2004,173.9130435,Urban Diesel
2005,200,Urban Diesel
2006,202.8985507,Urban Diesel
2007,202.8985507,Urban Diesel
2008,200,Urban Diesel
2009,191.3043478,Urban Diesel
2010,191.3043478,Urban Diesel
2011,191.3043478,Urban Diesel
2012,191.3043478,Urban Diesel
1980,371.0144928,Rural Gasoline
1981,362.3188406,Rural Gasoline
1982,347.826087,Rural Gasoline
1983,365.2173913,Rural Gasoline
1984,368.115942,Rural Gasoline
1985,368.115942,Rural Gasoline
1986,385.5072464,Rural Gasoline
1987,385.5072464,Rural Gasoline
1988,382.6086957,Rural Gasoline
1989,388.4057971,Rural Gasoline
1990,382.6086957,Rural Gasoline
1991,382.6086957,Rural Gasoline
1992,382.6086957,Rural Gasoline
1993,376.8115942,Rural Gasoline
1994,371.0144928,Rural Gasoline
1995,382.6086957,Rural Gasoline
1996,405.7971014,Rural Gasoline
1997,394.2028986,Rural Gasoline
1998,423.1884058,Rural Gasoline
1999,434.7826087,Rural Gasoline
2000,434.7826087,Rural Gasoline
2001,434.7826087,Rural Gasoline
2002,446.3768116,Rural Gasoline
2003,434.7826087,Rural Gasoline
2004,423.1884058,Rural Gasoline
2005,405.7971014,Rural Gasoline
2006,394.2028986,Rural Gasoline
2007,400,Rural Gasoline
2008,371.0144928,Rural Gasoline
2009,371.0144928,Rural Gasoline
2010,371.0144928,Rural Gasoline
2011,365.2173913,Rural Gasoline
2012,368.115942,Rural Gasoline
1980,533.3333333,Urban Gasoline
1981,527.5362319,Urban Gasoline
1982,524.6376812,Urban Gasoline
1983,515.942029,Urban Gasoline
1984,530.4347826,Urban Gasoline
1985,542.0289855,Urban Gasoline
1986,568.115942,Urban Gasoline
1987,579.7101449,Urban Gasoline
1988,588.4057971,Urban Gasoline
1989,591.3043478,Urban Gasoline
1990,585.5072464,Urban Gasoline
1991,579.7101449,Urban Gasoline
1992,602.8985507,Urban Gasoline
1993,631.884058,Urban Gasoline
1994,655.0724638,Urban Gasoline
1995,655.0724638,Urban Gasoline
1996,672.4637681,Urban Gasoline
1997,672.4637681,Urban Gasoline
1998,695.6521739,Urban Gasoline
1999,707.2463768,Urban Gasoline
2000,721.7391304,Urban Gasoline
2001,713.0434783,Urban Gasoline
2002,733.3333333,Urban Gasoline
2003,759.4202899,Urban Gasoline
2004,788.4057971,Urban Gasoline
2005,788.4057971,Urban Gasoline
2006,791.3043478,Urban Gasoline
2007,805.7971014,Urban Gasoline
2008,805.7971014,Urban Gasoline
2009,805.7971014,Urban Gasoline
2010,820.2898551,Urban Gasoline
2011,794.2028986,Urban Gasoline
2012,800,Urban Gasoline
