Track,Artist,Album,Year
Immigrant Song,Led Zeppelin,Led Zeppelin III,1970
Friends,Led Zeppelin,Led Zeppelin III,1970
Celebration Day,Led Zeppelin,Led Zeppelin III,1970
Since I've Been Loving You,Led Zeppelin,Led Zeppelin III,1970
Out On The Tiles,Led Zeppelin,Led Zeppelin III,1970
Gallows Pole,Led Zeppelin,Led Zeppelin III,1970
Tangerine,Led Zeppelin,Led Zeppelin III,1970
That's The Way,Led Zeppelin,Led Zeppelin III,1970
Bron-Yr-Aur Stomp,Led Zeppelin,Led Zeppelin III,1970
Hats Off To (Roy) Harper,Led Zeppelin,Led Zeppelin III,1970
Move Over,Janis Joplin,Pearl,1971
Cry Baby,Janis Joplin,Pearl,1971
A Woman Left Lonely,Janis Joplin,Pearl,1971
Half Moon,Janis Joplin,Pearl,1971
Buried Alive In The Blues,Janis Joplin,Pearl,1971
My Baby,Janis Joplin,Pearl,1971
Me & Bobby McGee,Janis Joplin,Pearl,1971
Mercedes Benz,Janis Joplin,Pearl,1971
Trust Me,Janis Joplin,Pearl,1971
Get It While You Can,Janis Joplin,Pearl,1971
Hells Bells,AC/DC,Back In Black,1980
Shoot To Thrill,AC/DC,Back In Black,1980
What Do You Do For Money Honey,AC/DC,Back In Black,1980
Given The Dog A Bone,AC/DC,Back In Black,1980
Let Me Put My Love Into You,AC/DC,Back In Black,1980
Back In Black,AC/DC,Back In Black,1980
You Shook Me All Night Long,AC/DC,Back In Black,1980
Have A Drink On Me,AC/DC,Back In Black,1980
Shake A Leg,AC/DC,Back In Black,1980
Rock And Roll Ain't Noise Poll,AC/DC,Back In Black,1980
Orphan Girl,Gillian Welch,Revival,1996
Annabelle,Gillian Welch,Revival,1996
Pass You By,Gillian Welch,Revival,1996
Barroom Girls,Gillian Welch,Revival,1996
One More Dollar,Gillian Welch,Revival,1996
By The Mark,Gillian Welch,Revival,1996
Paper Wings,Gillian Welch,Revival,1996
Tear My Stillhouse Down,Gillian Welch,Revival,1996
Acony Bell,Gillian Welch,Revival,1996
Only One And Only,Gillian Welch,Revival,1996
The Stars Of Track And Field,Belle & Sebastian,If You're Feeling Sinister,1996
Seeing Other People ,Belle & Sebastian,If You're Feeling Sinister,1996
Me And The Major,Belle & Sebastian,If You're Feeling Sinister,1996
Like Dylan In The Movies,Belle & Sebastian,If You're Feeling Sinister,1996
The Fox In The Snow,Belle & Sebastian,If You're Feeling Sinister,1996
"Get Me Away From Here, I'm Dying",Belle & Sebastian,If You're Feeling Sinister,1996
If You're Feeling Sinister,Belle & Sebastian,If You're Feeling Sinister,1996
Mayfly,Belle & Sebastian,If You're Feeling Sinister,1996
The Boy Done Wrong Again,Belle & Sebastian,If You're Feeling Sinister,1996
Judy And The Dream Of Horses,Belle & Sebastian,If You're Feeling Sinister,1996
Ohio,Damien Jurado,Rehearsals For Departure,1999
Tragedy,Damien Jurado,Rehearsals For Departure,1999
Curbside,Damien Jurado,Rehearsals For Departure,1999
Honey Baby,Damien Jurado,Rehearsals For Departure,1999
Eyes For Windows,Damien Jurado,Rehearsals For Departure,1999
Letters & Drawings,Damien Jurado,Rehearsals For Departure,1999
Love The Same,Damien Jurado,Rehearsals For Departure,1999
Saturday,Damien Jurado,Rehearsals For Departure,1999
Tornado,Damien Jurado,Rehearsals For Departure,1999
Rehearsals For Departure,Damien Jurado,Rehearsals For Departure,1999
Everything In It's Right Place,Radiohead,Kid A,2000
Kid A,Radiohead,Kid A,2000
The National Anthem,Radiohead,Kid A,2000
How To Disappear Completely,Radiohead,Kid A,2000
Treefingers,Radiohead,Kid A,2000
Optimistic,Radiohead,Kid A,2000
In Limbo,Radiohead,Kid A,2000
Idioteque,Radiohead,Kid A,2000
Morning Bell,Radiohead,Kid A,2000
Motion Picture Soundtrack [Acoustic],Radiohead,Kid A,2000
I'll Be Around,Bobby Bare Jr.,Young Criminal's Starvation League,2002
Flat Chested Girl From Maynardville,Bobby Bare Jr.,Young Criminal's Starvation League,2002
Mehan,Bobby Bare Jr.,Young Criminal's Starvation League,2002
Bullet Through My Teeth,Bobby Bare Jr.,Young Criminal's Starvation League,2002
The Monk At The Disco,Bobby Bare Jr.,Young Criminal's Starvation League,2002
Dig Down,Bobby Bare Jr.,Young Criminal's Starvation League,2002
What Difference Does It Make,Bobby Bare Jr.,Young Criminal's Starvation League,2002
The Ending,Bobby Bare Jr.,Young Criminal's Starvation League,2002
I'll Be Around [Reprise],Bobby Bare Jr.,Young Criminal's Starvation League,2002
Stay In Texas,Bobby Bare Jr.,Young Criminal's Starvation League,2002
